,id_disciplina,nome_componete_curricular,taxa_reprov,n
108,25665,INTERCONEXÕES DE REDES,0.38333333333333336,60
109,26952,HORTALIÇAS FRUTOS,0.3819444444444444,288
110,25641,IMPLANTAÇÃO E MANUTENÇÃO DE VIVEIROS,0.379746835443038,79
111,27166,NOÇÕES DE CARIOLOGIA,0.3767123287671233,146
112,26974,ABATE E PROCESSAMENTO DE CARNE E QUALIDADE E PROCESSAMENTO DE OVOS DE CONSUMO,0.37628865979381443,194
113,18737,REPRODUÇÃO DE RÃS,0.375,56
114,27089,POLÍTICAS DE SAÚDE I,0.3744292237442922,219
115,22436,GESTÃO DO EMPREENDIMENTO RURAL,0.3707865168539326,89
116,28021,COLETA DE AMOSTRAS SANGUÍNEAS,0.3707865168539326,89
117,28022,UNIDADE CURRICULAR DE EXTENSÃO TÉCNICA I,0.37037037037037035,81
118,28017,INTRODUÇÃO AO SUS,0.3698630136986301,73
119,28014,PRIMEIROS SOCORROS,0.3684210526315789,76
120,25602,LABORATÓRIO DE FÍSICA I,0.367816091954023,87
121,18739,ENGORDA DE RÃS,0.36666666666666664,60
122,18738,GIRINAGEM,0.36666666666666664,60
123,28020,MEIO AMBIENTE E SAÚDE,0.36619718309859156,71
124,27356,FUNDAMENTOS DA ANATOMIA E FISIOLOGIA HUMANA,0.36597938144329895,194
125,28916,CULTURA DOS POVOS DE LÍNGUA INGLESA,0.36585365853658536,41
126,27926,FUNDAMENTOS DO TRABALHO DO AGENTE DE SAÚDE,0.36538461538461536,52
127,18632,EDUCAÇÃO FÍSICA - 1º ANO - PROEJA,0.3644067796610169,118
128,25672,EMPREENDEDORISMO,0.36363636363636365,33
129,18661,ESPANHOL - 1º ANO - PROEJA,0.36363636363636365,88
130,18636,ARTE - 2º ANO - PROEJA,0.36231884057971014,69
131,22428,REPRODUÇÃO E LARVICULTURA DE CAMARÕES,0.3614457831325301,166
132,27393,PRÁTICAS PROFISSIONAIS - AQUICULTURA,0.3611111111111111,36
133,22434,TECNOLOGIA E CONTROLE DE QUALIDADE DO PESCADO,0.36024844720496896,161
134,21166,HIGIENE OCUPACIONAL,0.3590504451038576,337
135,28012,INTRODUÇÃO AO LABORATÓRIO CLÍNICO,0.358974358974359,78
136,25632,TOPOGRAFIA,0.35877862595419846,131
137,27098,EPIDEMIOLOGIA,0.35772357723577236,123
138,28185,INFORMÁTICA EM SAÚDE,0.35714285714285715,126
139,22421,FUNDAMENTOS DE LIMNOLOGIA E OCEANOGRAFIA,0.35625,160
